St: 001001; Bosphorus, Teknik Grup
St: 001164; El Orejano de Ortuzar, MeteoStar
St: 001165; Seichamps, Seichamps
St: 001166; Seichamps, meteo
St: 001167; cary, Copperleaf
St: 001168; Baia del Silenzio, SL KITE/WINDSURF GANG
St: 001169; Cary, Copperleaf
St: 001170;  Aerotecnologia, America, MeteoStar
St: 001171; Piriac sur Mer, Voilerie Biscay
St: 001172; Playa del Pinillo - Rio Real, Quickflash
St: 001173; Jordan Lake, Jordan Lake BR
St: 001174; cary, Copperleaf
St: 001175; cary, Copperleaf
St: 001176; cary, Copperleaf- American Tobacco Trail
St: 001177; Cary, American Tobacco Trail
St: 001178; Cannon Rocks, Cannon Rocks
St: 001179; H test
St: 001180; PLE, PLE Station
St: 001181; Léran, Station-Météo-Léran
St: 001182; Castiglione della Pescaia, RRD _ CVCP
St: 001183; MARCLoc7, La Paz, MeteoStar
St: 001184; Bordils, METEOBORDILS
St: 001185; Yacht Club de Tahiti, YCT - Arue
St: 001186; Bomberos Gesell, MeteoStar Team
St: 001187; Pilar, San Sebastian Area 5
St: 001188; Allaži, Bračas
St: 001189; bariloche, las victorias
St: 001190; FLISVOS KITECENTRE - MIKRI VIGLA, FLISVOS KITECENTRE - MIKRI VIGLA
St: 001191; HUA HUM , Neuquen, MeteoStar
St: 001192; Citedef2, Villa Martelli, MeteoStar
St: 001193; Comuna Tala 80, MeteoStar
St: 001194; Bracciano, Centro Surf Bracciano
St: 001195; Beach Bar Rihiveli, Beach Bar
St: 001196; Corner of South 2nd Street and Amvets Dr, De Soto, Missouri, KMODESOT8
St: 001197; Ceibo Tala,, MeteoStar
St: 001198; Club Náutico Bahía Blanca, CNBB
St: 001199; Villa Caferatta, MeteoStar
St: 001200; Porto Ronco, Porto Ronco
St: 001201; Jullouville, CVJ
St: 001202; Waterproofworld Brenzone, Waterproofworld Brenzone
St: 001203; Sobral, Pias Longas
St: 001204; Liberty Hill, Liberty Hill Station
St: 001205; El Gouna, Egypt, RedSeaZone
St: 001206; חורשה מזח כפר נחום, SEA OF GALILEE KEPAR NAHUM
St: 001207; Selden, knyselde1
St: 001208; Martinsicuro, meteomartinsicuro
St: 001209; Baia del Silenzio Sestri Levante, SL KITE/WINDSURF GANG
St: 001210; Holyně, Ultimeter 800
St: 001211; 25Clima, MeteoStar
St: 001212; Martinsicuro, meteomartinsicuro
St: 001213; Waihi Beach, Bowentown, Waihi Beach
St: 001214; Dakhla Lassarga, Ocean Vagabond & ION Club Lassarga
St: 001215; Hungary, Mór, Csóka-hegy
St: 001216; Chambave, MeteoChambave
St: 001217; casa, martin pescador 47
St: 001218; ST HELIER, GJ7DNI
St: 001219; teterivka, teterivka
St: 001220; gj7dni, GJ7DNI
St: 001221; somewhere, KiteStation
St: 001222; Marseillan, LiveWind
St: 001223; Beroun - vysilac, Beroun
St: 001224; Test, test
St: 001225; Estrada do Laranjal, MeteoFunchalC500
St: 001226; Plataies, Greece, AOK-Kitheronas
St: 001227; Dolní Přím, Honzek - Dolní Přím
St: 001228; Norway, Hemsedal, OPK Grøndalen
St: 001229; Solfjellstua, Rykkin, Bærum, OPK Solfjellstua
St: 001230; 
St: 001231; Norway, Drammen, OPK Solbergåsen
St: 001232; Norway, Brandbu, OPK Brandbukampen
St: 001233; 
St: 001234; 
St: 001235; 
St: 001236; 
St: 001237; 
St: 001238; 
St: 001239; 
St: 001240; 
St: 001241; Sweden, Vitemölla, Ravlunda O
St: 001242; Hovs hallar NV, Hovs hallar NW
St: 001243; Sweden, Höganäs, Höganäs NW
St: 001244; Kåseberga, Kåseberga S
St: 001245; Sweden, Kåseberga, Hammars backar SV
St: 001246; Sweden, Skåne, Ålabodarna, Ålis SV
St: 001247; Quinta da Lameira, Lameira
St: 001248; Grasslands Flying Club, Grasslandsweather
St: 001249; Cochrane, Alberta, Canada, Muller Windsports
St: 001250; foersterova, zahrada
St: 001251; Norway, Ulsteinvik, Flø - Roppehornet, STRATUS Roppehornet
St: 001252; Klagshams udde, SurfClub Klagshamn
St: 001253; QUILLEN, MeteoStar
St: 001254; Martinsicuro, meteomartinsicuro
St: 001255; Barrio Pueblo Nuevo, MeteoStar
St: 001256; Doñapilar, MeteoStar
St: 001257; Sweden, Vårgårda, Vårgårda Airport
St: 001258; Dübendorf, Meteo Dübendorf
St: 001259; El Gouna, Element-Watersports
St: 001260; testspot, testspot
St: 001261; Oldřichov u Duchcova, Barbora Yacht club
St: 001262; Clima Banfield, EMA Clima Banfield
St: 001263; Table View, Cape Town, meteo.capetown
St: 001264; Mooie Nel, Haarlemsche Jachtclub
St: 001265; Laulasmaa Küla
St: 001266; Finland, Höystö
St: 001267; Gülbahçe, BB Kite Surfing Urla
St: 001268; Norra Ässundet, Örebro - N Ässundet
St: 001269; Yunka Suma (CTC), MeteoStar
St: 001270; Walensee, Surfclub Liechtenstein (SSCL)
St: 001271; Caldecotte Lake (South). Milton Keynes. Bucks, MKSC
St: 001272; Zona Oeste de SFVC (CTC), MeteoStar
St: 001273; JAC  Aero Club Jachal, MeteoStar
St: 001274; FCA Rendl, Arlberg (Rendl) FCA
St: 001275; Austria, Tyrol, St. Anton am Arlberg, Arlberg (Kapall) FCA
St: 001276; Schnifis, Arlberg (Hensler)FCA
St: 001277; Lech am Arlberg, Arlberg (Kriegerhorn) FCA
St: 001278; Ludesch, Arlberg (Ludesch) FCA
St: 001279; Estación EFA Santísima Trinidad, MeteoStar
St: 001280; Italy, Verona, Caprino Veronese, Colonei
St: 001281; Mayo, Mayo Sailing Club
St: 001282; Bientina, MeteoBientina
St: 001283; Deutschland, Oederan, Flugplatz Oederan
St: 001284; Võrtsjärv, TammeSurf, Eik
St: 001285; Praia Formosa, Omniled Praia Formosa
St: 001286; Sorobon Beach, Bonaire, Dunkerbeck Procenter
St: 001287; Pilar del Este Barrio Santa Guadalupe, MeteoStar
St: 001288; kemping Chałupy 6, EASY SURF Chałupy 6
St: 001289; Ириклинское водохранилище (солёный), Ирикла
St: 001290; Sweden, Stockholm, Fituna
St: 001291; Puerto Montt, Región de los Lagos
St: 001292; San José de la Mariquina Los Ríos Chile, Cláu
St: 001293; Koukolova hora, Koukolka
St: 001294; School Mariano Moreno, MeteoStar
St: 001295; Copperleaf- Cary, dog
St: 001296; Flatts, MHWX
St: 001297; Australia, Granite Field, SA
St: 001298; MARIA FLORENCIA TRAMUTOLA, MARIA FLORENCIA TRAMUTOLA
St: 001299; Jesus Maria, OWS-JM-CBA
St: 001300; Otaua, Oakenhill Farm
St: 001301; Seklik, NTDRES
St: 001302; Torre Bellver, Portocala
St: 001303; Clube de Aeromodelismo de Assafora, RCAssafora Weather Station
St: 001304; Capital Federal, Ins. Ind. Luis A. Huergo
St: 001305; Playa Gurugú, Club Eolo Castellón
St: 001306; BIGBEN Institute, MeteoStar
St: 001307; R001, MeteoStar
St: 001308; Hungary, Tokaj, Tokaj
St: 001309; Bella Vista (CTC), MeteoStar
St: 001310; WXEchesortu, MeteoStar
St: 001311; Norway, Farstad, Hustadvika
St: 001312; Norway, Flemma
St: 001313; Aeródromo Sierra Grande, MeteoStar
St: 001314; Balneário Flórida, Praia Grande, Troyano Baln. Flórida
St: 001315; Rimetea, jud. Alba, România, Rimetea
St: 001316; Surf Spot Burgas, Burgas Surf Spot
St: 001317; Praia de Manguinhos, Armacao dos Buzios, METEORO BZ
St: 001318; MeteoFava, MeteoStar
St: 001319; ushuaia, muni
St: 001320; Los Osos, CA, LOBWX
St: 001321; Zanzibar - Paje - Kite Centre Zanzibar, Kite Centre Zanzibar
St: 001322; Sweden, Tyresö, Erstaviken
St: 001323; Guisborough, North Yorkshire, Gusiborough Weather
St: 001324; Czech Republic, Devin PG TOP 559m n.
St: 001325; Lazurne, UA Kurortna st. 5B Lazurnyi Bereg Hotel, L Bereg
St: 001326; Ski Island/Lake Hefner, SkiIslandWx
St: 001327; UK, Norfolk, Blakeney, Blakeney Harbour
St: 001328; Guisborough North Yorkshire, GuisboroughWx
St: 001329; Australia, Granite Field, SA
St: 001330; Přípeř test, Přípeř test
St: 001331; Alemeteo, MeteoStar
St: 001332; Dongdaihe 东戴河, 东戴河海天翼endless水上运动基地
St: 001333; Berdyansk, Ukraine, Berdyansk
St: 001334; India, Tuticorin, C2Sky & Aqua Outback
St: 001335; Pilis-tető, Pilisszentereszt, Hungary, Pilis-tető
St: 001336; Castricum Sports at Sea, Castricum Sports@Sea
St: 001337; Hippohae campsite, Hippohe-Koysara
St: 001338; Chickenloop kite club (Ribič), Seča, Portorož
St: 001339; GEOENERGIA_01, Bora Bora, Las Leñas, MeteoStar
St: 001340; Seichamps, Meteo Seichamps
St: 001341; Seichamps, Meteo
St: 001342; Riccione, Spiaggia 151
St: 001343; Centro_SJ, EMA_Fava
St: 001344; Copperleaf, Copperleaf Subdivision
St: 001345; Foersterova 449, Foersterova
St: 001346; Cary, Copperleaf
St: 001347; lazurne, UA Kurortna st. 5B Lazurnyi Bereg Hotel, Lazurnyi_Bereg
St: 001348; CANTERA DOÑA AMALIA, MeteoStar
St: 001349; La Rioja Centro, MeteoStar
St: 001350; CTBarker, MeteoStar
St: 001351; MYCAI RAWSON, MeteoStar
St: 001352; Peipsi, NinaSurf, Eik
St: 001353; Sierra Grande, Aeródromo Sierra Grande
St: 001354; PG, Politechnikai
St: 001355; Děčín TEST, Děčín TEST
St: 001356; Motala, Skärstad, Linköpings Fallskärmsklubb
St: 001357; Děčín TEST2, Děčín TEST2
St: 001358; Granja Educativa Municipal de Almirante Brown, MeteoStar Team
St: 001359; KBS Kitesurf School Punta Cana, KBS
St: 001360; France, Alexandru Radu
St: 001361; RasLaffan, RasLaffan
St: 001362; Bairro Languiru - Teutônia/RS, Bairro Languiru - Teutônia/RS
St: 001363; Rodenbach Training Site DGCS, DGCS Rodenbach
St: 001364; DE, Ruppichteroth, Delta-Club
St: 001365; Finland, Lohja, Pottenperi
St: 001366; El Peñón Valle de Bravo., El Peñon Take off
St: 001367; Tori, Tsushima, Nagasaki, Japan, Tori
St: 001368; Zona Sur Chivilcoy, MeteoStar
St: 001369; General Rodriguez zona sur, MeteoStar Team
St: 001370; Maria Lucila, MeteoStar
St: 001371; PG TEST, Děčín TEST3
St: 001372; Cyprus, Yedidalga Heavensurfhouse, 767
St: 001373; test, test
St: 001374; Primbee, Lake Illawarra
St: 001375; MARCLoc 1, Maca Maca, MeteoStar
St: 001376; MARCLoc 2, Sabilani, MeteoStar
St: 001377; MARCLoc 8, La Paz, MeteoStar
St: 001378; Meteo Arrufo, MeteoStar
St: 001379; Rafaela, gcamperi-Vantage VUE
St: 001380; Holabird, Holabird Weather Station
St: 001381; Rafaela (Santa Fe), gcamperi-Vantage VUE
St: 001382; VILASSAR DE MAR - PALOMARES, palomares
St: 001383; Praia da Galé - Melides, TBA - Ventus
St: 001384; Арабатская стрелка, Арабатка Клаб
St: 001385; Oulu, Nallikari
St: 001386; Děčín TEST4, Děčín TEST4
St: 001387; 
St: 001388; Constanta, WEGO Kite Spot
St: 001389; Trébeurden, Pors Raden
St: 001390; De Panne, Side Shore Surfers
St: 001391; Estacion_ElPaye, MeteoStar
St: 001392; Beer, Joseph FitzGerald
St: 001393; Da Nang, Son Tra Paragliding
St: 001394; Nida - Teambuildings & Eco-tours, ♥IRKLAKOJIS.LT♥ Outdoor Adventures
St: 001395; Agárd, Agárd
St: 001396; DanSer1,Necochea, MeteoStar
St: 001397; Broad Haven - Haven Sports, Haven Sports - Broad Haven Beach - 793
St: 001398; Australia, NSW, Sydney, Hurstville, Olds Park, Olds Park Hurstville
St: 001399; Milnerton, SamsHouse
St: 001400; Vendeuvre-du-Poitou, F1IRU-13
St: 001401; Grobnik - Žbelac, PJK Flumen
St: 001402; Cañadon Leon, MeteoStar
St: 001403; El Nihuil, ASMK, MeteoStar
St: 001404; Greece, Crete, Lasithi, Agios Nikolaos, Karavostasi Beach, wind station by DAEAN
St: 001405; Unknown spot, Unknown WG Station
St: 001406; Auckland, New Zealand, Maori Bay, Muriwai
St: 001407; Auckland, New Zealand, Dills Hill
St: 001408; Auckland, NZ, Kario
St: 001409; St Sulpice, Port du Laviau
St: 001410; CAPTAIN SAKIS, CAPTAIN SAKIS STATION
St: 001411; Esperando La Racha, MeteoStar
St: 001412; Esc. Dr Sabattini MATTEO I, MeteoStar
St: 001413; Esc. Gregoria Matorras - Matteo II, MeteoStar
St: 001414; Temple near Marlow, TempleNearMarlow
St: 001415; TOURS, Base aérienne
St: 001416; Sweden, Everöd, Skydive Skåne
St: 001417; VODA Surf Station, VODA Surf Station
St: 001418; 
St: 001419; Sochi, VODA Surf Station
St: 001420; Temple near Marlow, TempleNearMarlow
St: 001421; Patagonia Heliski Base of Operations, Carrileufu River Lodge - Davis Vantage Pro2
St: 001422; Estancia de Guadalupe, MeteoStar
St: 001423; Sneekermeer, Sneekermeer
St: 001424; Poble nou, Robert poble
St: 001425; Csepel, Csepel
St: 001426; Estancia Ninette, Ninette
St: 001427; Saalfelden/Dorfheim, ultimeter100
St: 001428; The Netherlands, Den Haag, HKZV strandslag 10
St: 001429; 
St: 001430; 
St: 001431; 
St: 001432; 
St: 001433; 
St: 001434; 
St: 001435; 
St: 001436; 
St: 001437; 
St: 001438; 
St: 001439; 
St: 001440; 
St: 001441; 
St: 001442; 
St: 001443; 
St: 001444; 
St: 001445; 
St: 001446; 
St: 001447; Carces, Provence Weatherstion
St: 001448; 
St: 001449; 
St: 001450; Rio Cuarto, Lv16
St: 001451; 
St: 001452; 
St: 001453; 
St: 001454; Casa_Juan, Casa_Juan
St: 001455; Avondshoek, Avondshoek
St: 001456; Cugy (VD), meteo-cugy.ch
St: 001457; Ios Boat Parking
St: 001458; Chem Gro Adrian, ChemGroAdrian
St: 001459; Berango, NicWind
St: 001460; Villa Cañas -Santa Fe, MeteoStar Team
St: 001461; Unknown spot, Unknown WG Station
St: 001462; Gimnasia Zona Norte, Chivilcoy, MeteoStar Team
St: 001463; Rosario - Santa Fe, MeteoStar
St: 001464; Saladillo - Buenos Aires, MeteoStar Team
St: 001465; FDR Clima, MeteoStar Team
St: 001466; Chajarí - Corrientes, MeteoStar Team
St: 001467; Colonia San Bartolome - Arroyito - Cordoba, MeteoStar Team
St: 001468; Arroyito2 -Cordoba, MeteoStar
St: 001469; Club de Velas Rosario, Meteostar
St: 001470; Observatorio Sierra Tornquist, MeteoStar
St: 001471; Japetić, LK Parafreek
St: 001472; The Spot Icaraizinho, Kitefun Windspeed & Direction Indicator
St: 001473; Ivanšćica, KPJ "LET" Ivanec
St: 001474; Strahinčica Jug, KPJ Jastreb
St: 001475; Tribalj, PJK Flumen
St: 001476; Tokmak, Test
St: 001477; Aerotecnologia, America, MeteoStar Team
St: 001478; Suiderstrand, SS04
St: 001479; Aeroclub Mercedes, Aeroclub Mercedes
St: 001480; Soon Seilforening, SOON
St: 001481; Gostilj, Ozren, Paragliding klub ParaGhost Doboj
St: 001482; Kärdla, Marina
St: 001483; marennes gataudiere.com, piou piou 609
St: 001484; Mechita, Buenos Aires, MeteoStar Team
St: 001485; Balneario El Condor Viedma, Rio Negro, MeteoStar
St: 001486; Los Petisos - Coronel Pringles, MeteoStar
St: 001487; LU9ACA Capital Federal, MeteoStar
St: 001488; Sec. de Ambiente Munic. de Gral. Viamonte, Meteostar
St: 001489; Meteo Salto, MeteoStar Team
St: 001490; thi, thi-weather-station
St: 001491; Pupuya, Pupuya- Windonline.cl
St: 001492; Pupuya, Windonline.cl
St: 001493; Prozatímní Čerťák, Prozatímní Čerťák
St: 001494; ICCVISMA
St: 001495; France, Langrune sur Mer, Langrune sur Mer
St: 001496; Portugal, Figueira da Foz, AKFM-Costa de Lavos
St: 001497; Oberhausen Sterkrade
St: 001498; Gropsoarele, Ciucas X3 - Gropsoarele
St: 001499; Fleet Bay, Solway Firth, Fleet Bay
St: 001500; Punta Rucia / Buen Hombre, GoKiteCabarete.com
St: 001501; Estación Godoy Cruz., MeteoStar
St: 001502; San Francisco - Mar del Plata, MeteoStar Team
St: 001503; Villa Carlos Paz - Cordoba, MeteoStar
St: 001504; Puente Viejo Bajo - Mar del Plata, MeteoStar Team
St: 001505; La Providencia bajo - Mar del Plata, MeteoStar Team
St: 001506; Mina Clavero - Cordoba, MeteoStar Team
St: 001507; KITE Dom Zielony Ogrod, Damian Rychel Grzybowo
St: 001508; Plešivica, PJK Zagreb
St: 001509; Erfurt, Rene Pietrzok
St: 001510; Erfurt, ringelberg
St: 001511; Andros Chora Greece, Andros Greece
St: 001512; Anchipurac, MeteoStar
St: 001513; Medina Mariano, Medina Mariano
St: 001514; Norway, Hordaland, Askøy, Herdla
St: 001515; Zandvoort, 848
St: 001516; Iceland, Jökulsárlón, Jökulsárlón
St: 001517; Barbate, Tobarbate
St: 001518; Playa del Carmen, Barbate, Tobarbate
St: 001519; Jezioro Goczałkowickie, Kiteboarding Śląsk
St: 001520; EMA ROSARIO SUR (TIRO SUIZO), MeteoStar Team
St: 001521; Instituto Agropecuario de Monte, MeteoStar
St: 001522; "La Esmeralda", Pueblo Bellocq (Estación Las Garzas)- Hasenkamp, MeteoStar
St: 001523; El Choike - Bariloche, MeteoStar Team
St: 001524; 12 Rosendo Street, 12Rosendo
St: 001525; Bahía de los Moros, Lobería, MeteoStar Team
St: 001526; PULMARI, Ezeiza, MeteoStar Team
St: 001527; LEMUNKUYEN AURORA, Curacavi, Melipilla, MeteoStar
St: 001528; Campo Monte del Buey,Monte Buey -Córdoba, MeteoStar Team
St: 001529; El Nonono, Sección de Islas del Delta - Tigre, MeteoStar Team
St: 001530; Shahama, Sha-Flag
St: 001531; Thailand, Sattahip, Sattahip 808
St: 001532; Thailand, Pattaya, Pattaya
St: 001533; Switzerland, La Sagne, Snowkite Spot Lasagne
St: 001534; 西子灣, VTC一港口
St: 001535; ConligWX, ConligWX
St: 001536; Servicio Meteorológico CTC - SFVC, MeteoStar
St: 001537; Labo Fisica UNGS, MeteoStar Team
St: 001538; Barrio Pueblo Nuevo, MeteoStar Team
St: 001539; LU4FBU BARRIO BELGRANO, MeteoStar Team
St: 001540; OBSERVATORIO CLIMATOLOGICO HUMANIDADES UNCa, MeteoStar
St: 001541; Estación Sastre y Ortiz, MeteoStar Team
St: 001542; La Oracion, MeteoStar Team
St: 001543; AGVNET-WS - Burzaco, MeteoStar Team
St: 001544; CA Work, Test CA Unit
St: 001545; SAMENA, SAMENA
St: 001546; Ucka, TakeOff Susnjevica
St: 001547; Oberhausen Sterkrade, OB
St: 001548; Sunrise BNB / Longmen, Longmen
St: 001549; UNaF2018, MeteoStar
St: 001550; Granero Del Oeste, MeteoStar
St: 001551; Costa Esmeralda, MeteoStar Team
St: 001552; Fortín Chacabuco, MeteoStar
St: 001553; YPF Agro Gas Pic - Arbolito - Colon, MeteoStar Team
St: 001554; Fecac5, Ruta 5, Cordoba, MeteoStar Team
St: 001555; Fecac1, MeteoStar
St: 001556; Fecac5, MeteoStar
St: 001557; AGVNET-CDU - Concepción del Uruguay, MeteoStar
St: 001558; Meteonolte - Córdoba, MeteoStar Team
St: 001559; USA, Arizona, Phoenix, South Mtn - AZHPA
St: 001560; Yasica, La boca
St: 001561; Del Zonda - Colonia Bombal, MeteoStar
St: 001562; Campo Yaquicho - Tucumán, MeteoStar
St: 001563; Ingeniero Giagnoni - Mendoza, MeteoStar
St: 001564; Electrotym - Luján, MeteoStar
